# Unchanged scenarios (Rate method)
73
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
Entry point for DefaultServletTest.testRangeRequests;0.2650181850095721;0.7393988193114495;33.7;32.233333333333334;30;30
Entry point for ServletHandlerTest.testAllNonProgrammaticFilterMappings;0.9541760568492378;0.5297824906260175;58.666666666666664;58.766666666666666;30;30
Entry point for AsyncServletTest.testNormal;NaN;1.0;0.0;0.0;30;30
Entry point for AsyncIOServletTest.testAsyncReadThrowsError;0.9087379883629697;0.30766901370797495;11.866666666666667;12.066666666666666;30;30
Entry point for AsyncServletTest.testSuspendTimeoutSuspend;0.35919535006876113;0.9705160513002812;46.333333333333336;46.833333333333336;30;30
Entry point for AsyncServletTest.testSuspendWaitComplete;1.0;1.0;62.36666666666667;62.36666666666667;30;30
Entry point for AsyncServletIOTest.testBigWrites;0.4468749118298655;0.5058591780795983;2433.5333333333333;2433.4333333333334;30;30
Entry point for DispatcherTest.testWorkingResourceHandler;0.9696793697828895;0.9175733096128048;3.6333333333333333;3.7;30;30
Entry point for AsyncServletTest.testSuspendOnTimeoutComplete;1.0;1.0;218.46666666666667;218.46666666666667;30;30
Entry point for AsyncServletTest.testFwdWrapStartDispatchPath;0.29765137121985763;0.6100075520376813;31.833333333333332;31.3;30;30
Entry point for AsyncServletTest.testSuspendWaitResume;0.39870152404427817;0.5058591780795983;15.766666666666667;15.666666666666666;30;30
Entry point for AsyncServletIOTest.testWritesFlushWrites;0.26491323595622684;0.4246622046508919;250.23333333333332;249.6;30;30
Entry point for AsyncServletTest.testSuspendOnTimeoutDispatch;1.0;1.0;218.46666666666667;218.46666666666667;30;30
Entry point for AsyncIOServletTest.testAsyncWriteClosed;0.6112617455679504;0.5894511694056184;127.93333333333334;128.9;30;30
Entry point for DispatcherTest.testIncludeToResourceHandler;0.9371004198095558;0.8708108045360416;18.633333333333333;18.8;30;30
Entry point for ResponseHeadersTest.testResponseHeaderFormat;0.9298305536756393;0.3007110471483132;189.73333333333332;189.86666666666667;30;30
