# Degradated methods (Rate method)
66
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
io.netty.buffer.AbstractByteBuf.writableBytes();0.1396792841988831;0.9228688655394447;0.016830149716055755;0.026639132679401135;19370;19370
io.netty.channel.AdaptiveRecvByteBufAllocator(int,int,int);0.6671703151701016;0.9222027482994007;0.2080536912751678;0.30666666666666664;149;150
io.netty.testsuite.transport.socket.SocketTestPermutation$2$1.toString();0.6276630428624015;0.8873772822210163;0.3875;0.6;80;80
io.netty.channel.AbstractChannel.newPromise();0.347715651923579;0.9609082719524201;0.007029876977152899;0.019491525423728815;2276;2360
io.netty.buffer.AbstractByteBuf.ensureAccessible();0.7804373644870063;0.9662466415349594;0.004539363942136783;0.005026476359433379;73138;74406
io.netty.channel.AbstractChannel$AbstractUnsafe.localAddress();0.321394279769444;0.8748829885276901;0.0;0.25;60;60
io.netty.channel.nio.AbstractNioChannel(io.netty.channel.Channel,java.nio.channels.SelectableChannel,int);0.5505619454734685;0.9655365148721048;0.021367521367521368;0.043835616438356165;702;730
io.netty.channel.socket.nio.NioDatagramChannelConfig.setOption0(java.lang.Object,java.lang.Object);0.32558198801619376;0.8244957516547711;0.0;0.5333333333333333;30;30
io.netty.channel.socket.nio.NioDatagramChannelConfig.setNetworkInterface(java.net.NetworkInterface);0.32558198801619376;0.8244957516547711;0.0;0.5333333333333333;30;30
io.netty.testsuite.transport.socket.SocketStartTlsTest.testStartTls();0.1435016247662514;0.12122450301291665;5534.9;6226.1;10;10
io.netty.channel.DefaultChannelPromise.await();0.1316603463254824;0.8181186687967394;63.84025877083852;71.96486090775988;4019;4098
io.netty.bootstrap.Bootstrap.init(io.netty.channel.Channel);0.6691695282236932;0.9874880593306906;0.26134585289514867;0.3106060606060606;639;660
io.netty.bootstrap.AbstractBootstrap$BootstrapChannelFactory.toString();0.3175479085989902;0.9697406574170926;0.0;0.014705882352941176;978;1020
io.netty.channel.socket.DefaultDatagramChannelConfig.setOption(io.netty.channel.ChannelOption,java.lang.Object);0.3193395975454466;0.9111634080897014;0.0;0.13333333333333333;120;120
io.netty.testsuite.transport.socket.SocketSslEchoTest.testSslEchoWithChunkHandler(io.netty.bootstrap.ServerBootstrap,io.netty.bootstrap.Bootstrap);0.5343850176385156;0.24281902425621116;1056.6666666666667;1182.0;30;30
io.netty.channel.SimpleChannelInboundHandler(boolean);0.2438631492167529;0.8302493734408068;0.18360995850622408;0.283;964;1000
io.netty.channel.socket.oio.OioServerSocketChannel(java.net.ServerSocket);0.32138913059209673;0.5553027804602053;1.8957055214723926;2.4823529411764707;163;170
io.netty.buffer.AbstractDerivedByteBuf(int);0.3173196294538436;0.9940367498504644;0.0;6.031363088057901E-4;25894;26528
io.netty.testsuite.transport.socket.AbstractSocketTest.run();0.18665841975476805;0.12916932532938263;3277.5104895104896;3478.86;143;150
